Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P5UMV19    ,P5UC0   ,3 ,12.47 ,600.00 ,P5UHS0_1247  ,P5UHS0_1247 -> P5UDT3610   ,
P5UDT3400  ,P5UC1   ,3 ,12.47 ,600.00 ,P5UHS0_1247  ,P5UHS0_1247 -> P5UDT3610   ,
P5UDT4647  ,P5UC2   ,3 ,12.47 ,450.00 ,P5UHS0_1247  ,P5UHS0_1247 -> P5UDT3610   ,
P5UDT6458  ,P5UC3   ,3 ,12.47 ,600.00 ,P5UHS1_1247  ,P5UHS1_1247 -> P5UDT4629   ,
P5UMV28    ,P5UC4   ,3 ,12.47 ,600.00 ,P5UHS1_1247  ,P5UHS1_1247 -> P5UDT4629   ,
P5UDT3264  ,P5UC5   ,3 ,12.47 ,600.00 ,P5UHS1_1247  ,P5UHS1_1247 -> P5UDT6125   ,
P5UDT5489  ,P5UC6   ,3 ,12.47 ,450.00 ,P5UHS1_1247  ,P5UHS1_1247 -> P5UDT4629   ,
P5UDT5287  ,P5UC7   ,3 ,12.47 ,450.00 ,P5UHS1_1247  ,P5UHS1_1247 -> P5UDT4788   ,
P5UDT3472  ,P5UC8   ,3 ,12.47 ,450.00 ,P5UHS1_1247  ,P5UHS1_1247 -> P5UDT4629   ,
P5UDT5673  ,P5UC9   ,3 ,12.47 ,600.00 ,P5UHS2_1247  ,P5UHS2_1247 -> P5UDT2335   ,
P5UDT2594  ,P5UC10  ,3 ,12.47 ,450.00 ,P5UHS2_1247  ,P5UHS2_1247 -> P5UDT6874   ,
P5UDT6399  ,P5UC11  ,3 ,12.47 ,450.00 ,P5UHS2_1247  ,P5UHS2_1247 -> P5UDT2335   ,
P5UDT33674 ,P5UC12  ,3 ,12.47 ,600.00 ,P5UHS3_1247  ,P5UHS3_1247 -> P5UDT7453   ,
P5UMV30    ,P5UC13  ,3 ,12.47 ,600.00 ,P5UHS3_1247  ,P5UHS3_1247 -> P5UDT6002   ,
