Name,Total Real Load,Total Reactive Load,kV,Latitude,Longitude,Connection Node
p1uhs19_1247,20056949.428999912,4097505.272311918,69.0,30.43390979813144,-97.79578522299384,p1uhs19_69
p1uhs0_1247,38927462.32100061,7954440.398283755,69.0,30.420128343380902,-97.71258004500787,p1uhs0_69
p1uhs5_1247,33828342.26400135,6977807.494626774,69.0,30.42070413207815,-97.76967016481326,p1uhs5_69
p1uhs10_1247,32961165.811000343,6993913.198680739,69.0,30.427178761951104,-97.74368074725224,p1uhs10_69
p1uhs3_1247,12420861.28599994,2614318.828933324,69.0,30.424290510361836,-97.74001308272108,p1uhs3_69
p1uhs14_1247,26828896.855000563,5531412.479995258,69.0,30.40683060886256,-97.74769650795876,p1uhs14_69
p1uhs17_1247,22337452.387999997,4540559.210366216,69.0,30.398253129930378,-97.76132511649944,p1uhs17_69
p1uhs1_1247,29809149.840000547,7145906.720746557,69.0,30.45921215729832,-97.68234614871778,p1uhs1_69
p1uhs20_1247,36928998.34400121,7600198.7546787225,69.0,30.468896597281656,-97.63804170194285,p1uhs20_69
p1uhs8_1247,33024253.53700096,7416436.232144982,69.0,30.45074110717989,-97.65436609553687,p1uhs8_69
p1uhs21_1247,21993759.524000023,4536125.477070253,69.0,30.48561813239943,-97.58027253273953,p1uhs21_69
p1uhs16_1247,27124342.625000924,5557353.55777196,69.0,30.462126004612475,-97.58175499932271,p1uhs16_69
p1uhs12_1247,43297915.63599912,8902579.158169083,69.0,30.442280850389615,-97.61795076839356,p1uhs12_69
p1uhs2_1247,39781432.58000005,9149343.699214414,69.0,30.433477769226098,-97.676535881482,p1uhs2_69
p1uhs6_1247,24535872.5070005,5036533.420903383,69.0,30.42830158573892,-97.6899011596826,p1uhs6_69
p1uhs9_1247,53269034.481999025,11799295.847823383,69.0,30.39618967057572,-97.66532572626605,p1uhs9_69
p1uhs15_1247,30676271.61800098,6961660.049136592,69.0,30.393796687199828,-97.69754613727456,p1uhs15_69
p1uhs11_1247,25066245.521000102,6761878.444498944,69.0,30.381760696702106,-97.72336366356521,p1uhs11_69
p1uhs4_1247,23560444.891000535,5510436.872819853,69.0,30.380282994594378,-97.70981758144168,p1uhs4_69
p1uhs7_1247,22763955.098000284,4874009.863210087,69.0,30.376900807718496,-97.68846561004412,p1uhs7_69
p1uhs22_1247,28990617.142000783,6205671.261317597,69.0,30.37151515899585,-97.68047064383445,p1uhs22_69
p1uhs13_1247,13879989.001999952,3131887.6706548035,69.0,30.38893261915992,-97.63629709887924,p1uhs13_69
p1uhs23_1247,7629206.629000165,1558558.5030822088,69.0,30.368284497598236,-97.64484212992294,p1uhs23_69
p1uhs18_1247,23477883.537000164,4826480.831013728,69.0,30.42318300020434,-97.6350736371198,p1uhs18_69
p1uhs24_1247,6101370.6,2003987.7639398146,69.0,30.37780139904568,-97.6388324967512,p1uhs24_69
