Node_A,Node_B,
SM1     ,SM3     ,
SM1     ,SM23    ,
SM373   ,SM408   ,
SM1070  ,SM1113  ,
SM14042 ,SM14061 ,
SM14042 ,SM14126 ,
SM14042 ,SM14075 ,
SM20955 ,SM20968 ,
SM20955 ,SM20979 ,
SM22261 ,SM22314 ,
SM24282 ,SM23981 ,
SM24282 ,SM24332 ,
SM31650 ,SM31606 ,
SM31650 ,SM31735 ,
SM33792 ,SM33900 ,
SM38678 ,SM38686 ,
SM62358 ,SM62304 ,
SM63909 ,SM63885 ,
SM63881 ,SM63849 ,
SM63747 ,SM63750 ,
SM63747 ,SM63700 ,
SM63747 ,SM63723 ,
SM53861 ,SM53767 ,
SM12800 ,SM12845 ,
SM10856 ,SM10901 ,
SM8184  ,SM8350  ,
SM8184  ,SM8203  ,
SM3742  ,SM3938  ,
SM3742  ,SM3838  ,
SM3742  ,SM3555  ,
SM2     ,SM4     ,
SM2     ,SM3     ,
SM2     ,SM1     ,
SM3     ,SM6     ,
SM23    ,SM37    ,
SM23    ,SM31    ,
SM150   ,SM149   ,
SM150   ,SM154   ,
SM154   ,SM157   ,
SM157   ,SM166   ,
SM295   ,SM320   ,
SM295   ,SM307   ,
SM307   ,SM334   ,
SM307   ,SM353   ,
SM397   ,SM368   ,
SM397   ,SM428   ,
SM428   ,SM455   ,
SM408   ,SM448   ,
SM515   ,SM501   ,
SM515   ,SM529   ,
SM529   ,SM540   ,
SM540   ,SM557   ,
SM557   ,SM567   ,
SM567   ,SM575   ,
SM575   ,SM593   ,
SM714   ,SM740   ,
SM1002  ,SM1037  ,
SM1037  ,SM1071  ,
SM1071  ,SM1101  ,
SM1101  ,SM1130  ,
SM1130  ,SM1156  ,
SM1113  ,SM1139  ,
SM1139  ,SM1161  ,
SM1248  ,SM1250  ,
SM1248  ,SM1275  ,
SM1280  ,SM1298  ,
SM1280  ,SM1311  ,
SM1584  ,SM1569  ,
SM1584  ,SM1623  ,
SM3548  ,SM3501  ,
SM3548  ,SM3615  ,
SM12072 ,SM12119 ,
SM12072 ,SM12547 ,
SM12547 ,SM12618 ,
SM13646 ,SM13350 ,
SM13646 ,SM13714 ,
SM14061 ,SM14126 ,
SM14126 ,SM14186 ,
SM14075 ,SM14112 ,
SM14435 ,SM14460 ,
SM14435 ,SM14504 ,
SM15039 ,SM15119 ,
SM17237 ,SM17289 ,
SM17237 ,SM17452 ,
SM19344 ,SM19348 ,
SM20778 ,SM20799 ,
SM20778 ,SM20793 ,
SM20793 ,SM20810 ,
SM20968 ,SM21004 ,
SM21004 ,SM21035 ,
SM21019 ,SM21017 ,
SM20979 ,SM21017 ,
SM20979 ,SM21010 ,
SM21010 ,SM21017 ,
SM21010 ,SM21046 ,
SM21046 ,SM21080 ,
SM21080 ,SM21125 ,
SM21125 ,SM21166 ,
SM21218 ,SM21166 ,
SM21218 ,SM21258 ,
SM21258 ,SM21298 ,
SM21298 ,SM21339 ,
SM21339 ,SM21378 ,
SM21378 ,SM21416 ,
SM21416 ,SM21457 ,
SM21457 ,SM21500 ,
SM21500 ,SM21554 ,
SM21554 ,SM21613 ,
