Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P2UMV1    ,P2UC0  ,3 ,12.47 ,300.00 ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8249  ,
P2UDT5993 ,P2UC1  ,3 ,12.47 ,300.00 ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8249  ,
P2UMV20   ,P2UC2  ,3 ,12.47 ,300.00 ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8122  ,
P2UDT5897 ,P2UC3  ,3 ,12.47 ,300.00 ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,
P2UDT3241 ,P2UC4  ,3 ,12.47 ,300.00 ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,
P2UMV23   ,P2UC5  ,3 ,12.47 ,300.00 ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8122  ,
P2UDT1172 ,P2UC6  ,3 ,12.47 ,300.00 ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT1587  ,
P2UDT1976 ,P2UC7  ,3 ,12.47 ,300.00 ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8249  ,
P2UDT7081 ,P2UC8  ,3 ,12.47 ,300.00 ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,
P2UDT4909 ,P2UC9  ,3 ,12.47 ,300.00 ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,
P2UDT333  ,P2UC10 ,3 ,12.47 ,300.00 ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT2514  ,
P2UDT2230 ,P2UC11 ,3 ,12.47 ,450.00 ,P2UHS1_1247  ,P2UHS1_1247 -> P2UDT7154  ,
P2UDT6463 ,P2UC12 ,3 ,12.47 ,300.00 ,P2UHS1_1247  ,P2UHS1_1247 -> P2UDT7154  ,
P2UDT5350 ,P2UC13 ,3 ,12.47 ,300.00 ,P2UHS1_1247  ,P2UHS1_1247 -> P2UDT7154  ,
P2UDT3874 ,P2UC14 ,3 ,12.47 ,300.00 ,P2UHS1_1247  ,P2UHS1_1247 -> P2UDT3475  ,
P2UDT7157 ,P2UC15 ,3 ,12.47 ,300.00 ,P2UHS1_1247  ,P2UHS1_1247 -> P2UDT3615  ,
P2UMV2    ,P2UC16 ,3 ,12.47 ,300.00 ,P2UHS1_1247  ,P2UHS1_1247 -> P2UDT7154  ,
P2UDT5862 ,P2UC17 ,3 ,12.47 ,300.00 ,P2UHS1_1247  ,P2UHS1_1247 -> P2UDT4740  ,
P2UDT5843 ,P2UC18 ,3 ,12.47 ,300.00 ,P2UHS1_1247  ,P2UHS1_1247 -> P2UDT3615  ,
P2UDT5409 ,P2UC19 ,3 ,12.47 ,450.00 ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT7925  ,
P2UMV3    ,P2UC20 ,3 ,12.47 ,450.00 ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8516  ,
P2UDT5917 ,P2UC21 ,3 ,12.47 ,300.00 ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT3567  ,
