Name,Total Real Load,Total Reactive Load,kV,Latitude,Longitude,Connection Node
p2uhs6_1247,19899733.366000004,4262082.468185402,69.0,30.312300944449696,-97.65009148027643,p2uhs6_69
p2uhs0_1247,21161786.01300001,4373014.7467924645,69.0,30.333400702321274,-97.54395015535583,p2uhs0_69
p2uhs8_1247,15210255.993999904,3510772.466989753,69.0,30.3374994617654,-97.61244859540398,p2uhs8_69
p2uhs11_1247,22551423.135000236,4727827.127423326,69.0,30.29410465089502,-97.63254717933918,p2uhs11_69
p2uhs12_1247,10108651.218000105,2095421.264436598,69.0,30.357663830927955,-97.53649316219129,p2uhs12_69
p2uhs7_1247,6417653.915000105,1331340.012109214,69.0,30.347610376723786,-97.46639524724404,p2uhs7_69
p2uhs2_1247,26926968.903000083,5982338.377804122,69.0,30.279943055418858,-97.67144822061364,p2uhs2_69
p2uhs5_1247,26573430.35499958,5817278.160247828,69.0,30.23978251105629,-97.69249540690562,p2uhs5_69
p2uhs9_1247,14593667.690999964,3450633.5957751055,69.0,30.21698318690452,-97.68853357241663,p2uhs9_69
p2uhs3_1247,13162389.804600067,2727128.369495834,69.0,30.220016179648532,-97.66573413812203,p2uhs3_69
p2uhs1_1247,16766247.091999529,3515787.547002965,69.0,30.255203804989428,-97.59915954603112,p2uhs1_69
p2uhs4_1247,13633924.387999915,3066766.7690712004,69.0,30.177997964734235,-97.65895598368044,p2uhs4_69
p2uhs10_1247,13388183.181999972,2744765.9472628883,69.0,30.150368738742785,-97.61485367023057,p2uhs10_69
p2uhs13_1247,2655876.357999978,552458.9216878397,69.0,30.218124286745002,-97.52286180761655,p2uhs13_69
