Name,Total Real Load,Total Reactive Load,kV,Latitude,Longitude,Connection Node
p3uhs5_1247,35172807.771900706,7251408.316568579,69.0,30.243287244587165,-97.77954655979771,p3uhs5_69
p3uhs0_1247,30192336.414000478,6185340.883864895,69.0,30.2437233361474,-97.89112668512387,p3uhs0_69
p3uhs8_1247,51154306.03839904,11022287.461728886,69.0,30.231641683026417,-97.75507394180111,p3uhs8_69
p3uhs18_1247,5868318.062000012,1282579.9192575866,69.0,30.21566971334366,-97.96182569471277,p3uhs18_69
p3uhs17_1247,10525054.939000031,2194394.987825547,69.0,30.22682499322269,-97.9277223013478,p3uhs17_69
p3uhs20_1247,29112441.07700066,5913919.2049949085,69.0,30.190846428939864,-97.89800525176575,p3uhs20_69
p3uhs16_1247,12050547.267999968,2484062.384061625,69.0,30.279958552661622,-97.87237124496635,p3uhs16_69
p3uhs21_1247,21785098.097000126,4493974.054692717,69.0,30.249443959356192,-97.83346119066105,p3uhs21_69
p3uhs7_1247,22788024.5030002,4636481.905740189,69.0,30.27358920125366,-97.82058248249471,p3uhs7_69
p3uhs19_1247,17845658.908999633,3655286.7115146243,69.0,30.215121995558427,-97.88534282516618,p3uhs19_69
p3uhs22_1247,16688117.060999518,3529840.173694859,69.0,30.228888547038384,-97.87071202257064,p3uhs22_69
p3uhs3_1247,31811709.40200076,6523409.919548819,69.0,30.22789930148564,-97.85282348066058,p3uhs3_69
p3uhs11_1247,18438528.429000013,3775803.610688825,69.0,30.224885142939094,-97.80862796685204,p3uhs11_69
p3uhs13_1247,39646767.664000735,8091936.826352714,69.0,30.206225114155973,-97.80786501984643,p3uhs13_69
p3uhs4_1247,37734383.95800057,8213287.645062692,69.0,30.217115475720814,-97.77545162773423,p3uhs4_69
p3uhs14_1247,40097219.40400078,8168419.679441674,69.0,30.204685698063376,-97.84181784499489,p3uhs14_69
p3uhs10_1247,32856837.5640011,6733447.447124168,69.0,30.162214033396047,-97.85492678999796,p3uhs10_69
p3uhs15_1247,47766290.11799976,9799490.260431185,69.0,30.17889346687803,-97.83446666230564,p3uhs15_69
p3uhs23_1247,26527624.652000245,5527807.346196466,69.0,30.142435265520586,-97.82750775107657,p3uhs23_69
p3uhs6_1247,38333240.28400087,7915348.957865979,69.0,30.19912438644546,-97.7892680827335,p3uhs6_69
p3uhs12_1247,34073501.130001076,7054197.024108618,69.0,30.17315617679008,-97.79872682057606,p3uhs12_69
p3uhs1_1247,17977429.282999806,3976609.286838314,69.0,30.196488885546916,-97.73678911561892,p3uhs1_69
p3uhs24_1247,28867074.984000716,5966878.546628263,69.0,30.178454967781946,-97.75837081937071,p3uhs24_69
p3uhs2_1247,52946219.39300014,12518947.804189816,69.0,30.20137869185536,-97.7477009943462,p3uhs2_69
p3uhs25_1247,13159769.554999866,2717131.6025619144,69.0,30.145980100940292,-97.78362546085951,p3uhs25_69
p3uhs26_1247,19785886.83599991,4043001.4154837723,69.0,30.15236881705576,-97.74179893521686,p3uhs26_69
p3uhs9_1247,7230410.780999998,2014326.9416806255,69.0,30.175022756616997,-97.70573709395408,p3uhs9_69
p3uhs27_1247,1017239.8130000042,213258.472959621,69.0,30.06884318486547,-97.69137970117214,p3uhs27_69
p3uhs28_1247,543735.4049999996,114067.50488642075,69.0,30.064412758497856,-97.66510612740556,p3uhs28_69
