Substation Feeder Num._Cons._LV Num._Cons._MV Num._Dist._Transf. Size_Dist._Transf._(kVA) Num._Capac. Num._Volt._Reg. Len_LV Len_MV Len_MV_1P Len_MV_2P Len_MV_3P Avg_Year Avg_Land_value_(USD/km2) Rural_(%) Urban_(%) Residential_(%) Commercial_(%) Industrial_(%) County Config_subest
P3UHS0_1247 P3UHS0_1247->P3UDT22485 2266 0 598 20875 1 0 40.4212 30.5158 22.1507 0 8.36507 1984 1409.14 0 100 99.5146 0.176523 0.308914 Travis delta-wye
P3UHS0_1247 P3UHS0_1247->P3UDT28845 2676 1 458 21405 2 0 30.1258 37.4935 20.3627 0 17.1308 1992 5295.43 0 100 97.9828 0.597684 1.4195 Travis delta-wye
P3UHS0_1247 P3UHS0_1247->P3UDT31121 3791 0 640 33075 2 0 40.345 40.2163 22.4215 0 17.7948 1996 8803.26 0 100 93.7484 5.53944 0.712213 Travis delta-wye
P3UHS10_1247 P3UHS10_1247->P3UDT18580 1106 0 186 9150 1 0 13.439 16.8224 9.65355 0 7.16887 1996 1507.22 0 100 98.915 0 1.08499 Travis delta-wye
P3UHS10_1247 P3UHS10_1247->P3UDT19559 3043 0 553 27525 2 0 43.2776 25.1952 18.191 0 7.00416 1999 1378.97 0 100 99.8686 0.131449 0 Travis delta-wye
P3UHS10_1247 P3UHS10_1247->P3UDT19881 2522 0 568 21370 1 0 32.1366 38.6883 25.8648 0 12.8235 1998 1521.1 0 100 97.2641 0.436162 2.29976 Travis delta-wye
P3UHS10_1247 P3UHS10_1247->P3UDT7392 2831 1 665 22850 2 0 33.3193 31.8356 25.2814 0 6.55412 1987 1554.47 0 100 99.5763 0.388418 0.0353107 Travis delta-wye
P3UHS11_1247 P3UHS11_1247->P3UDT20683 2187 1 410 24300 1 0 18.3406 36.6666 16.1648 0 20.5019 1985 9341.35 0 100 96.0695 3.06216 0.868373 Travis delta-wye
P3UHS11_1247 P3UHS11_1247->P3UDT27353 1128 1 222 18475 2 0 11.5167 14.9116 4.75536 0 10.1563 1968 2410.85 0 100 93.0027 6.64305 0.354296 Travis delta-wye
P3UHS12_1247 P3UHS12_1247->P3UDT14513 3059 0 512 27625 1 0 32.5299 29.2872 13.0149 0 16.2724 1990 17886.4 0 100 98.0386 1.11147 0.849951 Travis delta-wye
P3UHS12_1247 P3UHS12_1247->P3UDT14918 1606 1 287 15325 1 0 26.0068 14.2733 9.39132 0 4.88198 1988 1304.48 0 100 99.6266 0.186683 0.186683 Travis delta-wye
P3UHS12_1247 P3UHS12_1247->P3UDT18678 2886 0 386 23925 2 0 21.1612 29.9703 11.657 0 18.3132 2005 12396.2 0 100 98.0942 1.2474 0.658351 Travis delta-wye
P3UHS12_1247 P3UHS12_1247->P3UDT23934 1381 0 217 15400 2 0 15.3113 17.6948 6.84165 0 10.8531 2002 7202.28 0 100 92.9761 3.11369 3.91021 Travis delta-wye
P3UHS13_1247 P3UHS13_1247->P3UDT12740 2064 1 319 19100 1 0 19.1725 17.305 8.93437 0 8.37061 1978 3524.07 0 100 97.8692 1.88862 0.242131 Travis delta-wye
P3UHS13_1247 P3UHS13_1247->P3UDT16402 663 0 153 7675 0 0 9.55868 7.47486 3.23234 0 4.24252 1981 4474.44 0 100 87.632 9.35143 3.01659 Travis delta-wye
P3UHS13_1247 P3UHS13_1247->P3UDT26287 3494 0 580 34650 2 0 44.4134 33.2452 20.9186 0 12.3265 1979 1836.77 0 100 98.4831 1.43102 0.0858615 Travis delta-wye
P3UHS13_1247 P3UHS13_1247->P3UDT28604 3752 0 625 34350 3 0 42.7803 31.5191 19.2571 0 12.2619 1979 8185.86 0 100 97.6013 1.91898 0.479744 Travis delta-wye
P3UHS14_1247 P3UHS14_1247->P3UDT2635 4274 0 582 32550 3 0 41.1912 35.2282 20.6943 0 14.5339 1995 9540.45 0 100 98.9939 0.631727 0.374357 Travis delta-wye
P3UHS14_1247 P3UHS14_1247->P3UDT2638 1540 1 263 14800 2 0 17.9609 18.1905 8.69078 0 9.49967 1984 5646.42 0 100 97.6639 1.94679 0.389358 Travis delta-wye
P3UHS14_1247 P3UHS14_1247->P3UDT3365 1606 0 303 15500 1 0 21.974 16.3488 10.3526 0 5.99622 1982 1336.54 0 100 97.6961 1.868 0.435866 Travis delta-wye
P3UHS14_1247 P3UHS14_1247->P3UDT448 1118 0 168 9375 0 0 10.4464 12.4808 4.57931 0 7.90146 2000 10296 0 100 98.6583 0.894454 0.447227 Travis delta-wye
P3UHS14_1247 P3UHS14_1247->P3UDT9594 2414 0 430 22175 2 0 36.3553 22.3641 15.7106 0 6.65354 1987 1957.25 0 100 99.8757 0.08285 0.041425 Travis delta-wye
P3UHS15_1247 P3UHS15_1247->P3UDT10674 3350 0 587 32025 1 0 41.5719 32.7044 20.1945 0 12.5099 1990 3584.72 0 100 98.0299 1.16418 0.80597 Travis delta-wye
P3UHS15_1247 P3UHS15_1247->P3UDT21571 1377 0 230 11400 0 0 14.3773 10.6747 7.85112 0 2.82361 1993 1384.54 0 100 99.3464 0.290487 0.363108 Travis delta-wye
P3UHS15_1247 P3UHS15_1247->P3UDT27016 2915 0 517 26225 2 0 33.3447 32.1246 19.35 0 12.7745 1996 5617.98 0 100 96.6381 1.44082 1.9211 Travis delta-wye
P3UHS15_1247 P3UHS15_1247->P3UDT2707 4034 0 712 35100 4 0 46.7524 34.0316 21.9204 0 12.1112 1986 2794.1 0 100 99.2811 0.619732 0.0991572 Travis delta-wye
P3UHS15_1247 P3UHS15_1247->P3UDT29990 996 1 175 10750 1 0 11.7618 11.9549 6.13462 0 5.82028 1994 13893.8 0 100 96.3892 3.61083 0 Travis delta-wye
P3UHS16_1247 P3UHS16_1247->P3UDT16977 714 0 161 5345 0 0 7.60974 14.819 8.88713 0 5.93183 1995 2642.2 0 100 95.9384 1.68067 2.38095 Travis delta-wye
P3UHS16_1247 P3UHS16_1247->P3UDT3100 4195 0 590 26845 3 0 26.7279 49.7755 28.0835 0 21.6921 1998 5896.16 0 100 99.0703 0.357569 0.57211 Travis delta-wye
P3UHS17_1247 P3UHS17_1247->P3UDT16962 1602 0 462 15650 2 0 36.0891 41.1822 27.4714 0 13.7107 1989 6241.5 0 100 92.3845 3.87016 3.74532 Travis delta-wye
P3UHS17_1247 P3UHS17_1247->P3UDT31765 1674 0 440 13770 1 0 26.4996 37.8958 29.2853 0 8.61049 1996 1678.73 0 100 98.6858 0.358423 0.955795 Travis delta-wye
P3UHS18_1247 P3UHS18_1247->P3UDT32182 847 0 319 9530 2 0 19.4377 49.0714 36.5707 0 12.5008 1985 1901.47 0 100 91.3813 1.06257 7.55608 Travis delta-wye
P3UHS18_1247 P3UHS18_1247->P3UDT7679 733 0 291 8410 1 0 16.6836 42.4562 34.3416 0 8.11465 1988 1424.29 0 100 91.1323 2.04638 6.82128 Travis delta-wye
P3UHS19_1247 P3UHS19_1247->P3UDT13458 2842 0 601 25925 1 0 39.6393 38.5593 29.9311 0 8.62817 1993 1835.94 0 100 99.5426 0.140746 0.316678 Travis delta-wye
P3UHS19_1247 P3UHS19_1247->P3UDT25232 2231 0 372 19700 2 0 24.7615 30.698 18.5418 0 12.1562 1998 1782.19 0 100 99.4173 0.493052 0.0896459 Travis delta-wye
