Name,Total Real Load,Total Reactive Load,kV,Latitude,Longitude,Connection Node
p4uhs3_1247,10842447.86500004,2225529.970606143,69.0,30.552238236974404,-97.93429816160487,p4uhs3_69
p4uhs0_1247,31186188.732000653,6553197.293441943,69.0,30.349485686993894,-97.9742771949677,p4uhs0_69
p4uhs4_1247,10658634.967000015,2239565.500228425,69.0,30.4344659916005,-98.06788510534138,p4uhs4_69
p4uhs6_1247,11518205.228000013,2425122.7333202483,69.0,30.479002990076626,-97.9087712951886,p4uhs6_69
p4uhs5_1247,22008618.73900019,4606122.483303134,69.0,30.451912476471534,-97.99434615064119,p4uhs5_69
p4uhs7_1247,14617665.424999963,3033950.145401263,69.0,30.442122314175176,-97.93076121531912,p4uhs7_69
p4uhs8_1247,21231882.52799993,4333060.986034949,69.0,30.46632793400504,-97.84885097786,p4uhs8_69
p4uhs9_1247,27879167.64400043,5758720.472216796,69.0,30.43618203790895,-97.82291672682123,p4uhs9_69
p4uhs10_1247,15937258.880999787,3287419.744356118,69.0,30.39242274240768,-98.02881031633365,p4uhs10_69
p4uhs11_1247,4671916.247999966,973987.5308075058,69.0,30.39460188158212,-98.06762086115647,p4uhs11_69
p4uhs12_1247,15027308.141999817,3101349.165839802,69.0,30.3879470304056,-97.98962235556351,p4uhs12_69
p4uhs2_1247,19332372.73900002,4101402.495939431,69.0,30.395376169058462,-97.93352742141319,p4uhs2_69
p4uhs13_1247,19728884.788999915,4054582.5678706057,69.0,30.373776303798277,-97.97213586764647,p4uhs13_69
p4uhs14_1247,11900554.709999958,2445870.496374376,69.0,30.378756881407373,-97.92587214995467,p4uhs14_69
p4uhs15_1247,10530724.042999947,2169093.9033261132,69.0,30.33269459680047,-97.98809076859379,p4uhs15_69
p4uhs17_1247,19639044.585999884,4053610.223318471,69.0,30.319925089307493,-97.91347775051065,p4uhs17_69
p4uhs18_1247,16257809.622999914,3389686.7416867428,69.0,30.29828317776034,-97.93524020812667,p4uhs18_69
p4uhs19_1247,21328772.575000163,4443725.485978266,69.0,30.39076430735115,-97.84817455302367,p4uhs19_69
p4uhs20_1247,27298752.351000514,5559395.840838922,69.0,30.37038850587683,-97.89578025546362,p4uhs20_69
p4uhs1_1247,23366712.23800025,4792346.19792745,69.0,30.342092587069796,-97.86292443946729,p4uhs1_69
p4uhs16_1247,7216101.666000049,1499932.290267162,69.0,30.289087165077017,-98.02241578578213,p4uhs16_69
