Substation Feeder Num._Cons._LV Num._Cons._MV Num._Dist._Transf. Size_Dist._Transf._(kVA) Num._Capac. Num._Volt._Reg. Len_LV Len_MV Len_MV_1P Len_MV_2P Len_MV_3P Avg_Year Avg_Land_value_(USD/km2) Rural_(%) Urban_(%) Residential_(%) Commercial_(%) Industrial_(%) County Config_subest
P4UHS0_1247 P4UHS0_1247->P4UDT18706 2026 0 450 17950 2 0 20.072 22.8933 12.8484 0 10.0449 1989 1705.16 0 100 98.1737 1.23396 0.5923 Travis delta-wye
P4UHS0_1247 P4UHS0_1247->P4UDT18708 1353 0 269 16450 1 0 11.4005 21.7706 10.354 0 11.4166 2003 3950.33 0 100 94.3829 4.73023 0.886918 Travis delta-wye
P4UHS0_1247 P4UHS0_1247->P4UDT19058 1157 1 211 10775 2 0 9.96937 22.0678 9.57588 0 12.492 2005 3360.98 0 100 94.8187 1.64076 3.54059 Travis delta-wye
P4UHS0_1247 P4UHS0_1247->P4UDT7046 1681 0 369 17175 2 0 14.8269 29.8409 18.7162 0 11.1247 1995 1381.49 0 100 93.8132 4.99703 1.18977 Travis delta-wye
P4UHS0_1247 P4UHS0_1247->P4UDT7051 2068 1 378 15925 1 0 16.3435 25.8532 17.7492 0 8.10395 1998 1640.69 0 100 97.245 2.60996 0.144998 Travis delta-wye
P4UHS10_1247 P4UHS10_1247->P4UDT11491 1384 0 415 12615 3 0 29.4985 49.6109 33.9068 0 15.7041 1993 1906.49 0 100 95.2312 0.578035 4.19075 Travis delta-wye
P4UHS10_1247 P4UHS10_1247->P4UDT12947 427 0 168 5955 1 0 10.2436 28.1631 17.2654 0 10.8977 1995 1968.19 0 100 85.0117 8.8993 6.08899 Travis delta-wye
P4UHS10_1247 P4UHS10_1247->P4UDT14276 1051 0 352 9975 1 0 17.9884 22.8998 18.2787 0 4.62102 1995 1270.75 0 100 99.2388 0.285442 0.475737 Travis delta-wye
P4UHS10_1247 P4UHS10_1247->P4UDT21162 77 0 24 645 0 0 0.457768 4.19356 0 0 4.19356 2002 3361.91 0 100 100 0 0 Travis delta-wye
P4UHS10_1247 P4UHS10_1247->P4UDT21933 1702 0 445 16565 3 0 22.8737 50.8818 35.0767 0 15.8051 1995 1516.63 0 100 97.2385 1.52761 1.23384 Travis delta-wye
P4UHS11_1247 P4UHS11_1247->P4UDT10412 783 0 278 8505 3 0 16.9386 33.9441 26.5523 0 7.39183 1994 1664.62 0 100 91.954 3.44828 4.5977 Travis delta-wye
P4UHS11_1247 P4UHS11_1247->P4UDT11208 27 0 7 250 0 0 0.814074 1.00904 0.879181 0 0.129856 1988 2283.85 0 100 100 0 0 Travis delta-wye
P4UHS11_1247 P4UHS11_1247->P4UDT20593 3 0 2 100 1 0 0.0257765 1.26729 0.0613393 0 1.20595 1983 4034.23 0 100 0 100 0 Travis delta-wye
P4UHS11_1247 P4UHS11_1247->P4UDT9291 450 0 164 5030 2 0 12.3626 27.8702 25.3812 0 2.48893 1994 1901.26 0 100 93.7778 2.66667 3.55556 Travis delta-wye
P4UHS12_1247 P4UHS12_1247->P4UDT20601 1190 0 277 12425 1 0 18.3766 27.8594 16.4486 0 11.4108 1986 2198.15 0 100 95.5462 2.52101 1.93277 Travis delta-wye
P4UHS12_1247 P4UHS12_1247->P4UDT22081 1763 0 372 13070 2 0 18.9526 20.3259 14.4514 0 5.87451 1988 1490.15 0 100 97.7311 0.510493 1.75837 Travis delta-wye
P4UHS12_1247 P4UHS12_1247->P4UDT5377 1281 0 338 14950 2 0 17.6091 33.0604 22.7529 0 10.3075 1998 1573.82 0 100 95.4723 1.9516 2.57611 Travis delta-wye
P4UHS13_1247 P4UHS13_1247->P4UDT1395 3551 0 688 27725 1 0 36.1185 29.309 17.7268 0 11.5823 1986 1414.05 0 100 98.958 0.929316 0.112644 Travis delta-wye
P4UHS13_1247 P4UHS13_1247->P4UDT23237 2684 0 669 24395 2 0 36.9273 39.9598 29.3749 0 10.5849 1993 1704.32 0 100 96.9076 1.78838 1.30402 Travis delta-wye
P4UHS14_1247 P4UHS14_1247->P4UDT19383 814 0 205 9150 0 0 14.0998 29.6744 22.0492 0 7.62522 1997 2777.87 0 100 93.6118 3.1941 3.1941 Travis delta-wye
