Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P3UDT15021 ,P3UC0   ,3 ,12.47 ,450.00 ,P3UHS0_1247  ,P3UHS0_1247 -> P3UDT31121  ,
P3UMV1     ,P3UC1   ,3 ,12.47 ,300.00 ,P3UHS0_1247  ,P3UHS0_1247 -> P3UDT28845  ,
P3UDT19095 ,P3UC2   ,3 ,12.47 ,450.00 ,P3UHS0_1247  ,P3UHS0_1247 -> P3UDT31121  ,
P3UDT11986 ,P3UC3   ,3 ,12.47 ,300.00 ,P3UHS0_1247  ,P3UHS0_1247 -> P3UDT22485  ,
P3UDT20322 ,P3UC4   ,3 ,12.47 ,300.00 ,P3UHS0_1247  ,P3UHS0_1247 -> P3UDT28845  ,
P3UDT20531 ,P3UC5   ,3 ,12.47 ,450.00 ,P3UHS1_1247  ,P3UHS1_1247 -> P3UDT17241  ,
P3UDT24626 ,P3UC6   ,3 ,12.47 ,450.00 ,P3UHS1_1247  ,P3UHS1_1247 -> P3UDT16112  ,
P3UDT8074  ,P3UC7   ,3 ,12.47 ,300.00 ,P3UHS1_1247  ,P3UHS1_1247 -> P3UDT17241  ,
P3UDT8661  ,P3UC8   ,3 ,12.47 ,600.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT11804  ,
P3UDT16872 ,P3UC9   ,3 ,12.47 ,600.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT24404  ,
P3UMV31    ,P3UC10  ,3 ,12.47 ,450.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT31865  ,
P3UDT29710 ,P3UC11  ,3 ,12.47 ,450.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT11804  ,
P3UDT29256 ,P3UC12  ,3 ,12.47 ,300.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT11804  ,
P3UDT11817 ,P3UC13  ,3 ,12.47 ,450.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT24404  ,
P3UMV4     ,P3UC14  ,3 ,12.47 ,300.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT31865  ,
P3UMV2     ,P3UC15  ,3 ,12.47 ,300.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT11804  ,
P3UDT31752 ,P3UC16  ,3 ,12.47 ,300.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT20296  ,
P3UMV42    ,P3UC17  ,3 ,12.47 ,300.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT27289  ,
P3UDT24402 ,P3UC18  ,3 ,12.47 ,300.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT11804  ,
P3UDT21120 ,P3UC19  ,3 ,12.47 ,300.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT24404  ,
P3UDT14046 ,P3UC20  ,3 ,12.47 ,300.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UMV35     ,
P3UMV26    ,P3UC21  ,3 ,12.47 ,300.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UMV14     ,
P3UDT22949 ,P3UC22  ,3 ,12.47 ,300.00 ,P3UHS2_1247  ,P3UHS2_1247 -> P3UDT11804  ,
P3UDT24021 ,P3UC23  ,3 ,12.47 ,300.00 ,P3UHS3_1247  ,P3UHS3_1247 -> P3UDT31518  ,
P3UDT1111  ,P3UC24  ,3 ,12.47 ,300.00 ,P3UHS3_1247  ,P3UHS3_1247 -> P3UDT31518  ,
P3UDT15149 ,P3UC25  ,3 ,12.47 ,300.00 ,P3UHS3_1247  ,P3UHS3_1247 -> P3UDT31518  ,
P3UDT9989  ,P3UC26  ,3 ,12.47 ,300.00 ,P3UHS3_1247  ,P3UHS3_1247 -> P3UDT20362  ,
