Substation Feeder Num._Cons._LV Num._Cons._MV Num._Dist._Transf. Size_Dist._Transf._(kVA) Num._Capac. Num._Volt._Reg. Len_LV Len_MV Len_MV_1P Len_MV_2P Len_MV_3P Avg_Year Avg_Land_value_(USD/km2) Rural_(%) Urban_(%) Residential_(%) Commercial_(%) Industrial_(%) County Config_subest
P5UHS0_1247 P5UHS0_1247->P5UDT119 3082 1 654 37000 0 0 47.4112 40.2788 20.8429 0 19.4359 1970 4207.77 0 100 90.9179 6.2277 2.85436 Travis delta-wye
P5UHS0_1247 P5UHS0_1247->P5UDT3610 1004 3 278 16200 3 0 19.3758 20.6887 10.0751 0 10.6136 1953 6059.05 0 100 87.289 7.74578 4.96524 Travis delta-wye
P5UHS10_1247 P5UHS10_1247->P5UDT14571 3215 0 508 29725 2 0 27.7187 27.4031 14.4504 0 12.9526 1978 2102.37 0 100 97.5117 2.36392 0.124417 Travis delta-wye
P5UHS11_1247 P5UHS11_1247->P5UDT19826 558 1 188 15550 2 0 7.85249 18.6294 7.33247 0 11.2969 1983 6864.53 0 100 87.1199 12.3435 0.536673 Travis delta-wye
P5UHS11_1247 P5UHS11_1247->P5UDT24796 2761 0 601 21475 3 0 26.9659 41.9597 27.4662 0 14.4935 1992 2968.83 0 100 98.6237 0.688156 0.688156 Travis delta-wye
P5UHS11_1247 P5UHS11_1247->P5UDT27144 971 0 227 8535 1 0 12.2589 21.425 10.0381 0 11.3869 1992 4447.15 0 100 95.7775 2.26571 1.95675 Travis delta-wye
P5UHS11_1247 P5UHS11_1247->P5UDT31727 821 1 246 13975 2 0 11.3347 14.9513 6.43597 0 8.51532 1983 8652.36 0 100 94.4039 4.86618 0.729927 Travis delta-wye
P5UHS11_1247 P5UHS11_1247->P5UDT9720 49 2 23 5175 0 0 1.02966 6.26074 0.475758 0 5.78498 1990 12375.1 0 100 49.0196 50.9804 0 Travis delta-wye
P5UHS12_1247 P5UHS12_1247->P5UDT10697 3162 0 839 30650 2 0 43.2622 51.2384 34.5861 0 16.6523 1982 3878.46 0 100 97.47 1.92916 0.600886 Travis delta-wye
P5UHS12_1247 P5UHS12_1247->P5UDT23739 950 1 281 17675 2 0 14.085 20.8354 7.56241 0 13.2729 1986 5218.66 0 100 88.2229 9.04311 2.73396 Travis delta-wye
