OpenDSS Value,Node
0.929502986451668,p2ulv7513
0.9313452583924455,p2udm10340
0.9313674060707358,p2ulv15199
0.9320277256687581,p2ulv11278
0.9327157391124836,p2ulv3656
0.9331371440988756,p2udm2523
0.9332767250304062,p2udm10341
0.9335226611116553,p2ulv16139
0.9339880106721803,p2ulv11050
0.934277409265272,p2ulv10810
0.9343214154044089,p2ulv20454
0.9343816818557094,p2ulv7034
0.9345414456943437,p2udm10339
0.9345485530704563,p2ulv1950
0.9351767661288055,p2udm17052
0.9353151882714803,p2ulv494
0.9353624320808578,p2ulv11279
0.935385283231922,p2ulv1689
0.9356101209490189,p2udm23
0.9357648235157818,p2ulv8900
0.9358097431177734,p2ulv19793
0.935911822562293,p2ulv14292
0.935917496271884,p2udm4896
0.9359507146737777,p2ulv11753
0.9359629615957767,p2ulv19568
0.9359656922372401,p2udm13323
0.9360025619379218,p2udm4897
0.9360721800922305,p2ulv9843
0.9361402574466418,p2ulv13424
0.9362909410855222,p2ulv14098
0.9363117724837764,p2ulv6789
0.9363686698061823,p2ulv4387
0.9363765289029462,p2ulv17753
0.9364026469248221,p2ulv4133
0.9364141542607273,p2ulv23807
0.9364381607366525,p2ulv990
0.9365289622243762,p2ulv8482
0.9366169796494352,p2ulv17960
0.9366926615116409,p2ulv6
0.9366972289539619,p2ulv16140
0.9366987966108645,p2ulv5
0.9367146753771535,p2ulv20673
0.9368083891713146,p2ulv15196
0.9368106135296554,p2ulv3887
0.9368304676778514,p2ulv2177
0.9368378396751063,p2ulv11280
0.9368587179327856,p2ulv17291
0.9368642550430515,p2ulv16596
0.93689807585262,p2udm13324
0.9369350146464464,p2udm17268
0.9369461849596448,p2ulv8256
0.9370617389885486,p2ulv17961
0.9370748460496255,p2ulv5331
0.9371809239742583,p2ulv7033
0.9371851372143127,p2ulv15663
0.9371946893072984,p2udm1736
0.9372351621072696,p2ulv14987
0.9372938476473298,p2ulv23367
0.9373191438523325,p2ulv8258
0.9373362205550646,p2ulv22023
0.9373467920973139,p2udm5552
0.9373658068986344,p2udm4899
0.937391556821256,p2ulv1473
0.9374026895489211,p2udm17615
0.9374728413435017,p2udm5553
0.9375415618796314,p2ulv22506
0.9376001001703851,p2ulv4386
0.9376190521878258,p2ulv721
0.9376264820442004,p2ulv5813
0.9376603609150278,p2ulv10316
0.9377058254297522,p2ulv21097
0.9377320095369837,p2udm22
0.9377863382150083,p2udm2524
0.9378475741280765,p2udm15
0.937954997583619,p2udm11723
0.9379861223579662,p2ulv493
0.9380232848707948,p2udm17058
0.9380469392060381,p2ulv17078
0.9380848608367393,p2udm17267
0.9381154085964505,p2ulv14988
0.9382284815504177,p2udm19
0.9382456490124278,p2ulv22716
0.938262877145071,p2ulv6067
0.9383023017501039,p2udm17050
0.9383110050891982,p2ulv5130
0.9383288890413868,p2udt2924lv
0.9383353204189155,p2ulv19792
0.9383610134080935,p2ulv24072
0.9383690222112258,p2udm1737
0.9384402492035111,p2ulv16866
0.9384438622910098,p2ulv9163
0.9384475606122322,p2ulv17752
0.9384873810564889,p2udm17059
0.9385015842376858,p2udm5556
0.938530371784304,p2udt1911lv
0.9385310091268498,p2udm13
0.9386442845252398,p2ulv9617
0.938652581790652,p2udt5524lv
0.938657856491588,p2ulv3424
0.9386583069221475,p2ulv23564
0.9386594066269194,p2udm17270
0.938674773424414,p2ulv14517
0.9387592789286581,p2ulv8257
0.9387600519552266,p2udt927lv
0.9387612318378142,p2ulv20672
0.9388133460047863,p2udt3912lv
0.9389020371944599,p2udm17063
0.9389800917557043,p2ulv15891
0.9390107539661112,p2ulv12452
0.9390416690007402,p2udm17060
0.9390463820161175,p2udm16
0.9390946400055031,p2udt680lv
0.9391082677766096,p2udm17062
0.9391196469227345,p2udm10806
0.939139819031012,p2udm11722
0.9392645531780853,p2ulv10595
0.9392782266090378,p2udm11724
0.9393291045584569,p2udt1335lv
0.9394092291684757,p2udt473lv
0.9394120678410781,p2ulv13427
0.9394239654232712,p2udt5lv
0.9395464032059484,p2ulv16595
0.9396106922615022,p2udt1518lv
0.9396577707364042,p2udm17054
0.939746772875381,p2udm14
0.9398267605740322,p2udt5380lv
0.9398382269586261,p2ulv17079
0.9399156329325176,p2ulv1948
0.9401738746789225,p2udt5293lv
