Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P4UDT18348 ,P4UC0   ,3 ,12.47 ,300.00 ,P4UHS0_1247  ,P4UHS0_1247 -> P4UDT19058  ,
P4UDT19851 ,P4UC1   ,3 ,12.47 ,450.00 ,P4UHS0_1247  ,P4UHS0_1247 -> P4UDT7051   ,
P4UDT12036 ,P4UC2   ,3 ,12.47 ,450.00 ,P4UHS0_1247  ,P4UHS0_1247 -> P4UDT18706  ,
P4UDT12551 ,P4UC3   ,3 ,12.47 ,300.00 ,P4UHS0_1247  ,P4UHS0_1247 -> P4UDT7046   ,
P4UDT13020 ,P4UC4   ,3 ,12.47 ,300.00 ,P4UHS0_1247  ,P4UHS0_1247 -> P4UDT19058  ,
P4UDT1859  ,P4UC5   ,3 ,12.47 ,300.00 ,P4UHS0_1247  ,P4UHS0_1247 -> P4UDT18708  ,
P4UDT3728  ,P4UC6   ,3 ,12.47 ,300.00 ,P4UHS0_1247  ,P4UHS0_1247 -> P4UDT18706  ,
P4UDT9088  ,P4UC7   ,3 ,12.47 ,300.00 ,P4UHS0_1247  ,P4UHS0_1247 -> P4UDT7046   ,
P4UDT8359  ,P4UC8   ,3 ,12.47 ,300.00 ,P4UHS1_1247  ,P4UHS1_1247 -> P4UDT18088  ,
P4UDT4193  ,P4UC9   ,3 ,12.47 ,300.00 ,P4UHS1_1247  ,P4UHS1_1247 -> P4UDT22748  ,
P4UMV4     ,P4UC10  ,3 ,12.47 ,300.00 ,P4UHS1_1247  ,P4UHS1_1247 -> P4UDT22748  ,
P4UDT806   ,P4UC11  ,3 ,12.47 ,300.00 ,P4UHS1_1247  ,P4UHS1_1247 -> P4UDT18088  ,
P4UDT2730  ,P4UC12  ,3 ,12.47 ,300.00 ,P4UHS1_1247  ,P4UHS1_1247 -> P4UDT22748  ,
P4UDT21721 ,P4UC13  ,3 ,12.47 ,300.00 ,P4UHS1_1247  ,P4UHS1_1247 -> P4UDT18088  ,
P4UDT7407  ,P4UC14  ,3 ,12.47 ,300.00 ,P4UHS2_1247  ,P4UHS2_1247 -> P4UDT15941  ,
